MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Price
6.037732284167628,21.762430945407008,7.593948905218653,1.609684970393543,1897.072001569174,3.9290871516509647,37.60489861765534,-115.05892401602053,2.783666077351424
4.124898524229592,4.36650205115232,6.306925755403603,1.0542585003303453,287.2953077070744,4.605259920517733,36.957826985770126,-114.35419814198347,2.4403054090306053
6.610194792939146,18.789847232443446,12.44669966775822,2.0933741970077517,521.9718345203067,4.373605768271649,37.3575831647807,-119.2129831810965,3.5156501511150458
11.1765508997417,6.660903038357056,2.740724525317449,1.0,976.5275155813883,2.9283785292757223,38.545307190037036,-122.9598970227186,4.923098638619011
3.894276749466996,42.21999571047033,8.19638575822788,2.3593777061214682,7316.49957656653,1.8191892576820203,38.77002474345869,-116.14705333277327,1.8073169442118486
3.8943151108696408,49.33208932418801,7.834807828237096,1.374386084907643,978.6631048353347,2.0146096398343425,35.245099281836815,-117.02858649507601,2.5320095459765524
11.55973211235997,4.688140238154869,3.3556599745008953,1.0,3246.1412546690767,3.3503117651403387,33.837061952215954,-120.45329173389689,5.0
7.102599455196514,49.71087557187677,7.410169655976351,1.989605349014779,1139.739684956729,3.4448839995157168,33.98802472130993,-115.12592526031037,3.80415578855106
3.381486373955921,27.651406566174003,5.665855993653131,1.7967241897309334,676.1002491197727,1.9358146596625418,38.574213416078514,-114.24168110217293,1.9240304989379196
6.206120770713275,16.27784957564757,4.522249269290516,1.0,856.8608835882003,3.05820408809377,40.7922962147877,-118.42146150869804,2.807868510242974
3.393797104261524,4.919965839084339,3.562369114787938,1.0,926.6540362439558,3.867041493765078,36.39021464428274,-118.34272088655707,1.2799319858805305
3.3890923692431723,26.53183767159131,3.7149165666828985,1.2183061378499724,2005.4940913055939,1.8955505745535752,34.11044152312989,-121.02486494886222,1.4863196362544002
5.181928907591724,41.52029276902818,11.245014088904092,1.7073654615255285,4335.582569340369,4.673923555509377,39.68772373379162,-118.15493964016686,2.54480198230189
1.4219538167840924,37.061410340601604,4.954385418931329,1.0,1571.334987725632,2.5830930580285587,40.40865000698476,-119.60357679475153,0.15720690896591427
